,precision,recall,f1-score,support
backdoor,0.0,0.0,0.0,0.0
benign,1.0,0.9997573404513468,0.999878655502973,24726.0
credential,0.0,0.0,0.0,130.0
ddos,0.0,0.0,0.0,0.0
dos,0.0,0.0,0.0,0.0
mitm,0.0,0.0,0.0,6.0
ransomware,0.0,0.0,0.0,20.0
sql_injection,0.0,0.0,0.0,0.0
accuracy,0.9934892693513383,0.9934892693513383,0.9934892693513383,0.9934892693513383
macro avg,0.125,0.12496966755641835,0.12498483193787162,24882.0
weighted avg,0.9937304075235109,0.9934892693513383,0.9936098238070296,24882.0
