,precision,recall,f1-score,support
local1_benign,1.0,0.9347826086956522,0.9662921348314607,138.0
local1_mal,0.9347826086956522,1.0,0.9662921348314607,129.0
local2_benign,1.0,1.0,1.0,139.0
local2_mal,1.0,1.0,1.0,136.0
accuracy,0.9833948339483395,0.9833948339483395,0.9833948339483395,0.9833948339483395
macro avg,0.9836956521739131,0.9836956521739131,0.9831460674157304,542.0
weighted avg,0.9844777795604043,0.9833948339483395,0.9833948339483395,542.0
