,precision,recall,f1-score,support
local2_benign,0.0,0.0,0.0,0.0
local2_mal,0.0,0.0,0.0,903.0
accuracy,0.0,0.0,0.0,0.0
macro avg,0.0,0.0,0.0,903.0
weighted avg,0.0,0.0,0.0,903.0
