,precision,recall,f1-score,support
local1_benign,1.0,0.8985507246376812,0.9465648854961832,138.0
local1_mal,0.9020979020979021,1.0,0.9485294117647058,129.0
local2_benign,1.0,1.0,1.0,139.0
local2_mal,1.0,1.0,1.0,136.0
accuracy,0.974169741697417,0.974169741697417,0.974169741697417,0.974169741697417
macro avg,0.9755244755244755,0.9746376811594203,0.9737735743152223,542.0
weighted avg,0.9766985781745928,0.974169741697417,0.9741443695869378,542.0
